Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
GDP,,,,,,,,,,,,,,,,,,,,,,,886.227,942.382,937.636,1044.589,1099.814,1232.621,1272.751,1507.225,1607.598,1694.256,1952.807,2010.117,2119.908,2135.839,2022.679,2102.784,2128.38,2200.539,2072.894,2153.897,2239.876,2329.512,2413.712,2502.139,Asia
Implied PPP conversion rate,,,,,,,,,,,,,,,,,,,,,,,9.085,10.1,10.933,11.742,12.268,13.03,14.897,14.386,15.371,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.948,18.583,19.054,19.526,19.946,20.354,20.762,Asia
Total investment,,,,,,,,,,,,,,,,,,,,,,,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.45,18.427,19.298,18.477,18.039,18.192,17.046,18.102,18.936,19.775,20.561,21.356,Asia
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.007,22.223,28.316,26.063,30.197,29.897,26.526,25.877,26.86,27.434,27.926,28.369,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.484,126.258,131.677,137.001,142.54,148.304,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.443,4.793,4.292,4.043,4.043,4.043,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,42.89,45.691,51.752,57.219,59.671,69.273,82.306,74.211,81.814,89.433,94.687,101.543,103.053,104.218,109,112.315,113.162,116.3,122.115,127.61,132.715,138.023,143.544,149.286,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,6.53,13.266,10.562,4.285,16.092,18.814,-9.836,10.246,9.312,5.875,7.241,1.487,1.131,4.588,3.041,0.755,2.773,5,4.5,4,4,4,4,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,37.3,1.403,55.435,-2.324,-9.869,-7.882,28.046,32.285,12.751,31.436,3.671,-14.976,15.309,-7.929,4.442,-4.551,-7.862,4.926,4.958,-0.122,0.535,0.162,1.535,Asia
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,35.018,-0.96,51.689,-1.056,-15.195,-2.958,25.444,33.425,8.001,36.034,7.935,-16.77,23.256,-7.608,2.597,-7.405,-5.758,6.448,4.605,-0.57,0.093,-0.303,1.628,Asia
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,49.262,-5.861,46.497,-7.933,-10.109,-6.911,31.23,9.768,1.786,-23.92,-37.564,51.44,-11.585,-15.409,-5.883,28.901,-5.116,-33.428,38.067,32.973,10.014,8.83,9.642,Asia
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,,,87.548,-27.364,17.543,-33.218,39.065,50.728,-20.6,-2.964,-10.267,4.539,10.092,34.84,12.919,12.99,18.262,3.793,0.068,-27.053,34.963,26.897,9.36,9.244,10.325,Asia
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
